timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1658794476193,872,Oultet Landing Page,200,OK,Thread Group 1-1,text,true,,145231,379,1,1,https://www.webstaurantstore.com/outlet.html,724,0,23
1658794482481,364,Product Page,200,OK,Thread Group 1-1,text,true,,44777,398,1,1,https://www.webstaurantstore.com/outlet/178GDICE24FB/55705.html,364,0,0
1658794500602,946,Oultet Landing Page,200,OK,Thread Group 1-1,text,true,,145362,379,1,1,https://www.webstaurantstore.com/outlet.html,782,0,0
1658794510330,367,Product Page,200,OK,Thread Group 1-1,text,true,,43308,396,1,1,https://www.webstaurantstore.com/outlet/178CBE84HC/55921.html,367,0,0
1658794511953,848,Oultet Landing Page,200,OK,Thread Group 1-1,text,true,,145368,379,1,1,https://www.webstaurantstore.com/outlet.html,702,0,0
1658794529539,222,Product Page,200,OK,Thread Group 1-1,text,true,,53384,398,1,1,https://www.webstaurantstore.com/outlet/178SSPT60MHC/55937.html,221,0,0
1658794535306,881,Oultet Landing Page,200,OK,Thread Group 1-1,text,true,,145193,379,1,1,https://www.webstaurantstore.com/outlet.html,730,0,0
1658794540551,364,Product Page,200,OK,Thread Group 1-1,text,true,,67908,398,1,1,https://www.webstaurantstore.com/outlet/600S3101412G/55199.html,359,0,52
1658794543125,725,Oultet Landing Page,200,OK,Thread Group 1-1,text,true,,145076,379,1,1,https://www.webstaurantstore.com/outlet.html,583,0,0
1658794563914,403,Product Page,200,OK,Thread Group 1-1,text,true,,43511,392,1,1,https://www.webstaurantstore.com/outlet/378SM1/56069.html,402,0,0
1658794567970,802,Oultet Landing Page,200,OK,Thread Group 1-1,text,true,,145276,379,1,1,https://www.webstaurantstore.com/outlet.html,657,0,0
1658794570537,364,Product Page,200,OK,Thread Group 1-1,text,true,,43134,396,1,1,https://www.webstaurantstore.com/outlet/185SR1HC1S/56019.html,364,0,0
1658794588058,856,Oultet Landing Page,200,OK,Thread Group 1-1,text,true,,145358,379,1,1,https://www.webstaurantstore.com/outlet.html,714,0,0
1658794598472,371,Product Page,200,OK,Thread Group 1-1,text,true,,50913,397,1,1,https://www.webstaurantstore.com/outlet/415AM50BAJA/55965.html,371,0,0
1658794601162,975,Oultet Landing Page,200,OK,Thread Group 1-1,text,true,,145103,379,1,1,https://www.webstaurantstore.com/outlet.html,836,0,60
1658794605609,384,Product Page,200,OK,Thread Group 1-1,text,true,,44943,394,1,1,https://www.webstaurantstore.com/outlet/177EG36N/56067.html,384,0,0
1658794661040,920,Oultet Landing Page,200,OK,Thread Group 1-1,text,true,,145140,379,1,1,https://www.webstaurantstore.com/outlet.html,758,0,0
1658794701551,408,Product Page,200,OK,Thread Group 1-1,text,true,,47904,396,1,1,https://www.webstaurantstore.com/outlet/178A49RGHC/56087.html,407,0,33
1658794708681,935,Oultet Landing Page,200,OK,Thread Group 1-1,text,true,,145263,379,1,1,https://www.webstaurantstore.com/outlet.html,786,0,0
1658794709627,472,Product Page,200,OK,Thread Group 1-1,text,true,,59018,395,1,1,https://www.webstaurantstore.com/outlet/178SS2RHC/55907.html,461,0,0
1658794710171,707,Oultet Landing Page,200,OK,Thread Group 1-1,text,true,,145637,379,1,1,https://www.webstaurantstore.com/outlet.html,575,0,0
